"id","species","dia83","dia84","dia85","dia86","dia87","dia88","dia89","dia90","treat"
2,"Dp",28,25.3,28.9,32,32.8,34.7,34.5,36.1,1
9,"Dp",NA,7.6,NA,NA,NA,NA,NA,NA,3
68,"Dp",278,276,276,278,280,282,285,288,3
73,"Dp",36.4,37.8,39.6,42,44,46,49,52,1
87,"Dp",6.4,5.7,6.7,7.6,7.8,7.5,NA,NA,1
143,"Dp",827,NA,NA,NA,NA,NA,NA,NA,3
227,"Dp",6.5,4.8,5.4,6,6.8,6.7,6.1,NA,2
306,"Dp",6.4,9,5.2,6.6,6.5,6.5,6.3,6.6,3
311,"Dp",1235,NA,NA,NA,NA,NA,NA,NA,3
315,"Dp",13,13,12.8,13.6,13.5,13.4,15.2,NA,1
317,"Dp",340,351,363,377,386,394,405,417,1
319,"Dp",NA,NA,3.7,4.1,4.3,4.6,4.5,4.7,2
327,"Dp",5.9,NA,NA,NA,NA,NA,NA,NA,1
329,"Dp",10.7,11.1,NA,10.6,10.6,10.8,11.3,11.5,2
341,"Dp",4.4,4.9,4.8,5.7,NA,NA,NA,NA,1
344,"Dp",3.2,3,3.4,4.8,5,5.2,5.2,NA,1
352,"Dp",7.1,7.5,NA,NA,NA,NA,NA,NA,2
354,"Dp",3.5,NA,NA,NA,NA,NA,NA,NA,3
359,"Dp",694,NA,NA,NA,NA,NA,NA,NA,2
366,"Dp",3.7,4.3,4.3,4.6,4.6,5.2,4.8,5.2,3
374,"Dp",4.8,5.5,NA,6.2,NA,NA,NA,NA,3
376,"Dp",2.8,3,NA,NA,NA,NA,NA,NA,3
379,"Dp",3.3,NA,NA,NA,NA,NA,NA,NA,1
380,"Dp",853,NA,NA,NA,NA,NA,NA,NA,1
404,"Dp",3.1,4.4,6.1,6.4,NA,NA,NA,NA,1
409,"Dp",3.5,NA,NA,NA,NA,NA,NA,NA,2
411,"Dp",6.9,NA,NA,NA,NA,NA,NA,NA,2
413,"Dp",1479,NA,NA,NA,NA,NA,NA,NA,3
414,"Dp",1183,NA,NA,NA,NA,NA,NA,NA,1
1001,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1002,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1003,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1004,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1005,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1006,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1007,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1008,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1009,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1010,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1011,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1012,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1013,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1014,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1015,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1016,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1017,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1018,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1019,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1020,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1021,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1022,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1023,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1024,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1025,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1026,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1027,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1028,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1029,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1030,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1031,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1032,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1033,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1034,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1035,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1036,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1037,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1038,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1039,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1040,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1041,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1042,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1043,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1044,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1045,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1046,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1047,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1048,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1049,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1050,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1051,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1052,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1053,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1054,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1055,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1056,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1057,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1058,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1059,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1060,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1061,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1062,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1063,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1064,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1065,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1066,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1067,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1068,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1069,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1070,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1071,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1072,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1073,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1074,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1075,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1076,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
1077,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1078,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1079,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1080,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1081,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1082,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,1
1083,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,2
1084,"Pm",NA,NA,NA,NA,NA,NA,NA,NA,3
