PPNR	L1	Score
1	English	7
1	English	6
1	English	7
1	English	5
1	English	8
2	English	9
2	English	4
2	English	5
2	English	6
2	English	7
3	English	5
3	English	6
3	English	7
3	English	3
3	English	4
4	Chinese	6
4	Chinese	5
4	Chinese	6
4	Chinese	5
4	Chinese	6
5	English	3
5	English	6
5	English	7
5	English	4
5	English	6
6	Korean	8
6	Korean	9
6	Korean	10
6	Korean	7
6	Korean	8
7	English	4
7	English	6
7	English	3
7	English	5
7	English	5
8	Chinese	5
8	Chinese	8
8	Chinese	9
8	Chinese	6
8	Chinese	7
9	English	6
9	English	5
9	English	4
9	English	5
9	English	6
10	Korean	8
10	Korean	7
10	Korean	6
10	Korean	6
10	Korean	7
11	Chinese	8
11	Chinese	9
11	Chinese	8
11	Chinese	6
11	Chinese	6
12	English	5
12	English	5
12	English	5
12	English	5
12	English	5
13	Korean	6
13	Korean	6
13	Korean	6
13	Korean	7
13	Korean	6
14	English	5
14	English	4
14	English	5
14	English	4
14	English	6
15	English	7
15	English	8
15	English	7
15	English	9
15	English	8
16	Korean	9
16	Korean	8
16	Korean	8
16	Korean	8
16	Korean	7
17	Korean	8
17	Korean	6
17	Korean	6
17	Korean	5
17	Korean	6
18	English	7
18	English	6
18	English	5
18	English	5
18	English	4
19	Korean	5
19	Korean	6
19	Korean	7
19	Korean	8
19	Korean	9
20	Korean	9
20	Korean	9
20	Korean	9
20	Korean	9
20	Korean	9
