location,community,nfmembers,membership,ntfp,murumuru,pataua,palmito,wood,sawmill,farinha,pepper,agriculture,acai,passionf,cocoa,cupuacu,fishing,chicken,crab,shrimp,defeso,bverde,bfamilia,pension,other,total,community
Salvaterra,Água Boa,2,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,0,8376,Salvaterra
Salvaterra,Água Boa,6,1,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4224,8136,0,13810,Salvaterra
Salvaterra,Água Boa,5,1,400,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,3600,0,0,9912,Salvaterra
Salvaterra,Água Boa,4,1,448,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,2712,0,1608,0,0,6320,Salvaterra
Salvaterra,Água Boa,3,0,180,0,0,0,0,0,0,0,0,0,0,0,0,6400,0,0,0,2712,0,2544,0,0,11836,Salvaterra
Salvaterra,Água Boa,6,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,5904,0,0,12976,Salvaterra
Salvaterra,Água Boa,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,2544,0,1200,6456,Salvaterra
Salvaterra,Boa Vista,3,1,1400,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,2712,0,0,0,8136,17048,Salvaterra
Salvaterra,Boa Vista,5,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,600,0,0,0,2712,0,5592,0,1200,13704,Salvaterra
Salvaterra,Camará,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,1296,0,2400,6468,Salvaterra
Salvaterra,Camará,5,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,2400,7032,Salvaterra
Salvaterra,Cururu,3,1,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120,0,7200,11040,Salvaterra
Salvaterra,Cururu,5,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2784,0,0,3184,Salvaterra
Salvaterra,Cururu,4,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,3600,0,0,6628,Salvaterra
Salvaterra,Cururu ,6,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4224,0,0,4564,Salvaterra
Salvaterra,Cururuzinho,6,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928,0,2400,5578,Salvaterra
Salvaterra,Cururuzinho,2,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,0,8411,Salvaterra
Salvaterra,Cururuzinho,7,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,2712,0,3744,0,4200,16456,Salvaterra
Salvaterra,Cururuzinho,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,0,8136,Salvaterra
Salvaterra,Cururuzinho,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,2712,0,3672,8688,1500,22572,Salvaterra
Salvaterra,Joannes,5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,2712,0,3264,0,8400,16976,Salvaterra
Salvaterra,Joannes,4,1,750,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,2712,0,1296,0,11088,16846,Salvaterra
Salvaterra,Joannes,5,1,260,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,2712,0,1224,0,1920,7916,Salvaterra
Salvaterra,Joannes,9,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,2712,0,3384,0,0,9016,Salvaterra
Salvaterra,Joannes,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,24768,24768,Salvaterra
Salvaterra,Joannes,6,1,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,1296,8688,2160,15200,Salvaterra
Salvaterra,Joannes,6,1,320,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,2712,0,2400,0,0,6712,Salvaterra
Salvaterra,Joannes,6,1,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5064,0,0,6104,Salvaterra
Salvaterra,Joannes,6,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,2712,0,1680,0,8440,16432,Salvaterra
Salvaterra,Joannes,11,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,4632,8688,7740,24072,Salvaterra
Salvaterra,Joannes,3,0,625,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,600,0,2712,0,2544,0,0,12481,Salvaterra
Salvaterra,Joannes,10,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2856,8136,0,11142,Salvaterra
Salvaterra,Joannes,5,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,3384,0,3500,9896,Salvaterra
Salvaterra,Joannes,6,0,240,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,2712,0,3624,0,0,8576,Salvaterra
Salvaterra,Joannes,4,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,2712,0,2004,0,2400,16116,Salvaterra
Salvaterra,Joannes,2,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16320,600,17320,Salvaterra
Salvaterra,Joannes,4,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,2544,0,0,7056,Salvaterra
Salvaterra,Joannes,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,0,8136,11000,14059,Salvaterra
Salvaterra,Joannes,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9240,9240,Salvaterra
Salvaterra,Joannes,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000,Salvaterra
Salvaterra,Jobim,6,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,1440,0,2712,0,960,0,3000,12112,Salvaterra
Salvaterra,Jobim,6,1,400,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,2712,0,1632,0,1200,7144,Salvaterra
Salvaterra,Jobim,5,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,2712,0,0,0,0,5412,Salvaterra
Salvaterra,Jobim,4,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,2712,0,0,0,2034,8346,Salvaterra
Salvaterra,Jobim,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,2712,0,0,8136,0,12648,Salvaterra
Salvaterra,Jobim,4,1,1400,0,0,0,0,0,0,0,0,0,0,0,0,800,0,960,0,2712,0,1752,0,3600,11224,Salvaterra
Salvaterra,Jobim,4,1,800,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,8136,0,10536,Salvaterra
Salvaterra,Jobim,4,1,160,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,2712,0,840,0,0,5312,Salvaterra
Salvaterra,Jobim,5,1,1080,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,3000,0,240,10232,Salvaterra
Salvaterra,Jobim,3,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,13200,16760,Salvaterra
Salvaterra,Jobim,4,1,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,1752,8688,2400,17216,Salvaterra
Salvaterra,Jobim,5,0,720,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17376,1200,19896,Salvaterra
Salvaterra,Jobim,7,0,600,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,2712,0,2544,0,360,7016,Salvaterra
Salvaterra,Jobim,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,4800,6810,Salvaterra
Salvaterra,Jobim,5,0,500,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,2376,0,0,8788,Salvaterra
Salvaterra,Jobim,2,0,700,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,960,10636,Salvaterra
Salvaterra,Jobim,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,2712,0,2040,0,10488,22440,Salvaterra
Salvaterra,Jobim,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,2712,0,1296,0,400,7408,Salvaterra
Salvaterra,Jobim,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,2712,0,2040,0,800,10352,Salvaterra
Salvaterra,Marizal,4,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,0,0,3960,Salvaterra
Salvaterra,Marizal,2,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8160,1200,10120,Salvaterra
Salvaterra,São Benedito,4,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,2712,0,3288,0,0,10500,Salvaterra
Salvaterra,São Benedito,3,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,0,0,0,7912,Salvaterra
Salvaterra,Vila Ceará,3,1,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1080,4220,Salvaterra
Salvaterra,Vila Ceará,3,1,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,9940,Salvaterra
Salvaterra,Vila Ceará,5,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,840,0,3000,12952,Salvaterra
Salvaterra,,4,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,8136,16572,Salvaterra
Salvaterra,,5,1,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544,16272,600,20816,Salvaterra
Salvaterra,,2,1,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,8136,0,10376,Salvaterra
Salvaterra,,8,1,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,0,9736,Salvaterra
Salvaterra,,5,1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,8136,30000,43336,Salvaterra
Salvaterra,,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,6400,0,0,0,2712,0,0,0,6600,16512,Salvaterra
Salvaterra,,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,2400,0,4320,9120,Salvaterra
Salvaterra,,4,0,200,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,2712,0,0,0,7500,14412,Salvaterra
Salvaterra,,8,0,1200,0,0,0,1800,0,0,0,0,0,0,0,0,720,0,600,0,2712,0,3024,0,0,10056,Salvaterra
Salvaterra,,6,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,2712,0,1080,0,0,8992,Salvaterra
Salvaterra,,6,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,600,0,2712,0,0,8160,0,15872,Salvaterra
Salvaterra,,6,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,3384,0,8136,15192,Salvaterra
Salvaterra,,4,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384,8136,1200,13260,Salvaterra
Salvaterra,,5,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,2712,0,2520,0,0,11032,Salvaterra
Salvaterra,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,8136,8136,17304,Salvaterra
Salvaterra,,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,1032,0,11764,13596,Salvaterra
Salvaterra,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16272,0,16272,Salvaterra
Salvaterra,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,2712,0,0,0,2400,7612,Salvaterra
Bragança,Montenegro,6,1,0,0,0,0,432,0,5760,0,4300,0,0,0,0,0,0,0,0,0,0,2472,0,0,12964,Bragança
Bragança,Montenegro,5,1,0,0,0,0,0,0,1920,0,300,0,0,0,0,0,0,0,0,0,0,2448,0,12000,16668,Bragança
Bragança,Cearazinho,5,1,1908,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,6372,Bragança
Bragança, Cearazinho,8,1,6000,0,0,0,0,0,8688,0,0,0,0,0,0,0,0,0,0,0,0,3144,0,0,17832,Bragança
Bragança,Monte Alegre,3,1,0,0,0,0,0,0,1740,0,1200,0,0,0,0,0,0,0,0,0,0,1248,0,0,4188,Bragança
